offset: 251, matches found: 1
offset: 1861536879, matches found: 2
offset: 1868195278, matches found: 2
offset: 1874860473, matches found: 2
offset: 1881636681, matches found: 2
offset: 1888830702, matches found: 2
offset: 1896003472, matches found: 2
offset: 1903308315, matches found: 2
offset: 1910568792, matches found: 2
offset: 1917903403, matches found: 2
offset: 1925116843, matches found: 2
offset: 1931920846, matches found: 2
offset: 1938595133, matches found: 2
offset: 1945269361, matches found: 2
offset: 1951939845, matches found: 2
offset: 1958625398, matches found: 2
offset: 1965709771, matches found: 2
offset: 1972939287, matches found: 2
offset: 1980162135, matches found: 2
offset: 1987375743, matches found: 2
offset: 1994613701, matches found: 2
offset: 2002006012, matches found: 2
offset: 2009559571, matches found: 2
offset: 2017144186, matches found: 2
offset: 2024624034, matches found: 2
offset: 2032067252, matches found: 2
offset: 2039471517, matches found: 2
offset: 2046919447, matches found: 2
offset: 2054353459, matches found: 2
offset: 2061768549, matches found: 2
offset: 2069183338, matches found: 2
offset: 2076628461, matches found: 2
offset: 2084076421, matches found: 2
offset: 2091522785, matches found: 2
offset: 2098955675, matches found: 2
offset: 2106373536, matches found: 2
offset: 2113700685, matches found: 2
offset: 2121069290, matches found: 2
offset: 2128290814, matches found: 2
offset: 2135523650, matches found: 2
offset: 2142764846, matches found: 2
251
259

real	4m37.035s
user	4m36.737s
sys	0m0.024s
